Z_space,k,weights,metric,train_f1,val_f1,val_accuracy,val_precision,val_recall
Z2,15,uniform,manhattan,0.8780,0.8955,0.8859,0.9091,0.8824
Z2,15,distance,euclidean,1.0000,0.8442,0.8315,0.8660,0.8235
Z2,15,distance,manhattan,1.0000,0.8955,0.8859,0.9091,0.8824
Z3,3,uniform,euclidean,0.8959,0.8039,0.7826,0.8039,0.8039
Z3,3,uniform,manhattan,0.9007,0.8571,0.8424,0.8614,0.8529
Z3,3,distance,euclidean,1.0000,0.8039,0.7826,0.8039,0.8039
Z3,3,distance,manhattan,1.0000,0.8571,0.8424,0.8614,0.8529
Z3,5,uniform,euclidean,0.8916,0.8358,0.8207,0.8485,0.8235
Z3,5,uniform,manhattan,0.8808,0.8586,0.8478,0.8854,0.8333
Z3,5,distance,euclidean,1.0000,0.8358,0.8207,0.8485,0.8235
Z3,5,distance,manhattan,1.0000,0.8586,0.8478,0.8854,0.8333
Z3,7,uniform,euclidean,0.8905,0.8500,0.8370,0.8673,0.8333
Z3,7,uniform,manhattan,0.8614,0.8643,0.8533,0.8866,0.8431
Z3,7,distance,euclidean,1.0000,0.8500,0.8370,0.8673,0.8333
Z3,7,distance,manhattan,1.0000,0.8643,0.8533,0.8866,0.8431
Z3,9,uniform,euclidean,0.8878,0.8543,0.8424,0.8763,0.8333
Z3,9,uniform,manhattan,0.8607,0.8571,0.8478,0.8936,0.8235
Z3,9,distance,euclidean,1.0000,0.8543,0.8424,0.8763,0.8333
Z3,9,distance,manhattan,1.0000,0.8571,0.8478,0.8936,0.8235
Z3,11,uniform,euclidean,0.8829,0.8500,0.8370,0.8673,0.8333
Z3,11,uniform,manhattan,0.8600,0.8526,0.8478,0.9205,0.7941
Z3,11,distance,euclidean,1.0000,0.8500,0.8370,0.8673,0.8333
Z3,11,distance,manhattan,1.0000,0.8526,0.8478,0.9205,0.7941
Z3,15,uniform,euclidean,0.8728,0.8426,0.8315,0.8737,0.8137
Z3,15,uniform,manhattan,0.8485,0.8482,0.8424,0.9101,0.7941
Z3,15,distance,euclidean,1.0000,0.8426,0.8315,0.8737,0.8137
Z3,15,distance,manhattan,1.0000,0.8482,0.8424,0.9101,0.7941
